Plate	Well	trans_track	region_5p	region_3p	trans_id	gene_name	target_id	notes	status	trans_notes	extra_notes	pcr_status_jerryd	fran_est_tpm	Highlighted regions can be found here:
2	80	WTC11_consolidated	chr10:89418673-89418800	chr10:89419919-89419955	TM_000000496622_10_ZXJ	IFIT5	IFIT5+D	GENCODE-rejected	batch4					
2	81	WTC11_consolidated	chr11:118252286-118252346	chr11:118228530-118228643	TM_000000122115_11_DBL	MPZL3	MPZL3+B	GENCODE-rejected	batch4					
2	82	WTC11_consolidated	chr1:163072500-163072529	chr1:163074356-163074428	TM_000003574079_1_ABL	RGS4	RGS4+B	GENCODE-rejected						
2	84	WTC11_consolidated	chr16:57284441-57284624	chr16:57258491-57258580	ENST00000704472	PLLP	PLLP+A	GENCODE-known						
2	85	WTC11_consolidated	chr13:49628516-49628599	chr13:49630750-49630833	ENST00000705874	ARL11	ARL11+A	GENCODE-known						
2	86	WTC11_consolidated	chr6:70955848-70955907	chr6:70861499-70861568	ENST00000704726	B3GAT2	B3GAT2+A	GENCODE-known						
2	87	WTC11_consolidated	chrX:153505258-153505336	chrX:153506842-153506910	ENST00000705199	BGN	BGN+A	GENCODE-known						
2	88	WTC11_consolidated	chr1:203305566-203305716	chr1:203309213-203309520	ENST00000704875	BTG2	BTG2+A	GENCODE-known						
2	89	WTC11_consolidated	chr22:32152576-32152614	chr22:32149553-32149597	ENST00000705895	C22orf42	C22orf42+A	GENCODE-known						
2	90	WTC11_consolidated	chr22:41561082-41561173	chr22:41574756-41574859	ENST00000706220	CSDC2	CSDC2+A	GENCODE-known						
2	91	WTC11_consolidated	chr9:137223848-137224082	chr9:137225687-137225837	ENST00000705725	CYSRT1	CYSRT1+A	GENCODE-known						
2	92	WTC11_consolidated	chr14:100159535-100159635	chr14:100146756-100146871	ENST00000705803	DEGS2	DEGS2+A	GENCODE-known						
2	93	WTC11_consolidated	chr11:75768794-75769058	chr11:75796354-75796492	ENST00000705699	DGAT2	DGAT2+A	GENCODE-known						
2	94	WTC11_consolidated	chr17:49969321-49969579	chr17:49973739-49974005	ENST00000705773	DLX4	DLX4+A	GENCODE-known						
2	95	WTC11_consolidated	chr9:136363508-136363543	chr9:136362103-136362156	ENST00000705011	DNLZ	DNLZ+A	GENCODE-known						
2	96	WTC11_consolidated	chr8:29349946-29350145	chr8:29337229-29337392	ENST00000704854	DUSP4	DUSP4+A	GENCODE-known						
		WTC11_consolidated	chr4:112145641-112145710	chr4:112186720-112186787	ENST00000705924	FAM241A	FAM241A+A	GENCODE-known						
		WTC11_consolidated	chr2:182866111-182866211	chr2:182834880-182834937	ENST00000704907	FRZB	FRZB+A	GENCODE-known						
		WTC11_consolidated	chr5:138274344-138274423	chr5:138252975-138253034	ENST00000704596	GFRA3	GFRA3+A	GENCODE-known						
		WTC11_consolidated	chr5:138257916-138264305	chr5:138254081-138254142	ENST00000704561	GFRA3	GFRA3+B	GENCODE-known						
		WTC11_consolidated	chr5:138270673-138270701	chr5:138257511-138257624	TCONS_00000133	GFRA3	GFRA3+C	GENCODE-known						
		WTC11_consolidated	chr1:27392646-27392719	chr1:27394028-27394189	ENST00000704616	GPR3	GPR3+A	GENCODE-known						
		WTC11_consolidated	chr5:140346298-140346423	chr5:140334163-140334265	ENST00000705606	HBEGF	HBEGF+A	GENCODE-known						
		WTC11_consolidated	chr1:6419809-6419897	chr1:6413113-6413252	ENST00000705377	HES2	HES2+A	GENCODE-known						
		WTC11_consolidated	chr1:18955704-18955815	chr1:18908539-18908638	ENST00000700735	IFFO2	IFFO2+A	GENCODE-known						
		WTC11_consolidated	chr10:89414761-89414805	chr10:89418250-89418419	ENST00000705506	IFIT5	IFIT5+A	GENCODE-known						
		WTC11_consolidated	chr2:74499395-74499504	chr2:74498063-74498256	ENST00000705444	LBX2	LBX2+A	GENCODE-known						
		WTC11_consolidated	chr10:69573309-69573378	chr10:69572841-69572910	ENST00000705688	NEUROG3	NEUROG3+A	GENCODE-known						
		WTC11_consolidated	chr10:80132723-80132802	chr10:80144899-80144970	ENST00000705998	PLAC9	PLAC9+B	GENCODE-known						
		WTC11_consolidated	chr16:57284433-57284529	chr16:57256871-57256996	ENST00000704472	PLLP	PLLP+F	GENCODE-known						
		WTC11_consolidated	chr3:43105912-43106005	chr3:43080865-43081414	ENST00000705097	POMGNT2	POMGNT2+C	GENCODE-known						
		WTC11_consolidated	chr1:163072431-163072490	chr1:163074356-163074428	ENST00000705227	RGS4	RGS4+A	GENCODE-known						
